ticker,sector,earnings_date,eps_estimate,eps_actual,beat_miss_meet,trailing_4q_beat_rate
ABBV,Healthcare,2014-10-31,0.77,0.89,beat,1.0
ABBV,Healthcare,2015-01-30,0.86,0.89,beat,1.0
ABBV,Healthcare,2015-04-23,0.85,0.94,beat,1.0
ABBV,Healthcare,2015-07-24,1.06,1.08,beat,1.0
ABBV,Healthcare,2015-10-30,1.08,1.13,beat,1.0
ABBV,Healthcare,2016-01-29,1.12,1.13,beat,1.0
ABBV,Healthcare,2016-04-28,1.14,1.15,beat,1.0
ABBV,Healthcare,2016-07-29,1.2,1.26,beat,1.0
ABBV,Healthcare,2016-10-28,1.2,1.21,beat,1.0
ABBV,Healthcare,2017-01-27,1.2,1.2,meet,1.0
ABBV,Healthcare,2017-04-27,1.26,1.28,beat,0.75
ABBV,Healthcare,2017-07-28,1.4,1.42,beat,0.75
ABBV,Healthcare,2017-10-27,1.39,1.41,beat,0.75
ABBV,Healthcare,2018-01-26,1.43,1.48,beat,0.75
ABBV,Healthcare,2018-04-26,1.79,1.87,beat,1.0
ABBV,Healthcare,2018-07-27,1.97,2.0,beat,1.0
ABBV,Healthcare,2018-11-02,2.0,2.14,beat,1.0
ABBV,Healthcare,2019-01-25,1.93,1.9,miss,1.0
ABBV,Healthcare,2019-04-25,2.07,2.14,beat,0.75
ABBV,Healthcare,2019-07-26,2.21,2.26,beat,0.75
ABBV,Healthcare,2019-11-01,2.3,2.33,beat,0.75
ABBV,Healthcare,2020-02-07,2.19,2.21,beat,0.75
ABBV,Healthcare,2020-05-01,2.25,2.42,beat,1.0
ABBV,Healthcare,2020-07-31,2.2,2.34,beat,1.0
ABBV,Healthcare,2020-10-30,2.77,2.83,beat,1.0
ABBV,Healthcare,2021-02-03,2.85,2.92,beat,1.0
ABBV,Healthcare,2021-04-30,2.83,2.95,beat,1.0
ABBV,Healthcare,2021-07-30,3.03,3.11,beat,1.0
ABBV,Healthcare,2021-10-29,3.22,3.33,beat,1.0
ABBV,Healthcare,2022-02-02,3.28,3.31,beat,1.0
ABBV,Healthcare,2022-04-29,3.14,3.16,beat,1.0
ABBV,Healthcare,2022-07-29,3.31,3.37,beat,1.0
ABBV,Healthcare,2022-10-28,3.57,3.66,beat,1.0
ABBV,Healthcare,2023-02-09,3.58,3.6,beat,1.0
ABBV,Healthcare,2023-04-27,2.49,2.46,miss,1.0
ABBV,Healthcare,2023-07-27,2.81,2.91,beat,0.75
ABBV,Healthcare,2023-10-27,2.87,2.95,beat,0.75
ABBV,Healthcare,2024-02-02,2.8,2.79,miss,0.75
ABBV,Healthcare,2024-04-26,2.26,2.31,beat,0.5
ABBV,Healthcare,2024-07-25,2.66,2.65,miss,0.75
ABBV,Healthcare,2024-10-30,2.92,3.0,beat,0.5
ABBV,Healthcare,2025-01-31,2.12,2.16,beat,0.5
ABBV,Healthcare,2025-04-25,2.4,2.46,beat,0.75
ABBV,Healthcare,2025-07-31,2.91,2.97,beat,0.75
ABBV,Healthcare,2025-10-31,1.78,1.86,beat,1.0
ABBV,Healthcare,2026-02-04,2.65,2.71,beat,1.0
ABBV,Healthcare,2026-04-29,2.67,2.65,miss,1.0
AMGN,Healthcare,2014-10-27,2.12,2.3,beat,0.5
AMGN,Healthcare,2015-01-27,2.05,2.16,beat,0.67
AMGN,Healthcare,2015-04-21,2.11,2.48,beat,0.75
AMGN,Healthcare,2015-07-30,2.42,2.57,beat,1.0
AMGN,Healthcare,2015-10-28,2.37,2.72,beat,1.0
AMGN,Healthcare,2016-01-28,2.28,2.61,beat,1.0
AMGN,Healthcare,2016-04-28,2.61,2.9,beat,1.0
AMGN,Healthcare,2016-07-27,2.74,2.84,beat,1.0
AMGN,Healthcare,2016-10-27,2.8,3.02,beat,1.0
AMGN,Healthcare,2017-02-02,2.79,2.89,beat,1.0
AMGN,Healthcare,2017-04-26,3.01,3.15,beat,1.0
AMGN,Healthcare,2017-07-25,3.11,3.27,beat,1.0
AMGN,Healthcare,2017-10-25,3.1,3.27,beat,1.0
AMGN,Healthcare,2018-02-01,3.03,2.89,miss,1.0
AMGN,Healthcare,2018-04-24,3.25,3.47,beat,0.75
AMGN,Healthcare,2018-07-26,3.56,3.83,beat,0.75
AMGN,Healthcare,2018-10-30,3.45,3.69,beat,0.75
AMGN,Healthcare,2019-01-29,3.27,3.42,beat,0.75
AMGN,Healthcare,2019-04-30,3.48,3.56,beat,1.0
AMGN,Healthcare,2019-07-30,3.58,3.97,beat,1.0
AMGN,Healthcare,2019-10-29,3.53,3.66,beat,1.0
AMGN,Healthcare,2020-01-30,3.42,3.64,beat,1.0
AMGN,Healthcare,2020-04-30,3.75,4.17,beat,1.0
AMGN,Healthcare,2020-07-28,3.77,4.25,beat,1.0
AMGN,Healthcare,2020-10-28,3.75,4.37,beat,1.0
AMGN,Healthcare,2021-02-02,3.35,3.81,beat,1.0
AMGN,Healthcare,2021-04-27,4.04,3.7,miss,1.0
AMGN,Healthcare,2021-08-03,4.01,4.38,beat,0.75
AMGN,Healthcare,2021-11-02,4.22,4.67,beat,0.75
AMGN,Healthcare,2022-02-07,4.04,4.36,beat,0.75
AMGN,Healthcare,2022-04-27,4.12,4.25,beat,0.75
AMGN,Healthcare,2022-08-04,4.33,4.65,beat,1.0
AMGN,Healthcare,2022-11-03,4.45,4.7,beat,1.0
AMGN,Healthcare,2023-01-31,4.09,4.09,meet,1.0
AMGN,Healthcare,2023-04-27,3.85,3.98,beat,0.75
AMGN,Healthcare,2023-08-03,4.49,5.0,beat,0.75
AMGN,Healthcare,2023-10-31,4.68,4.96,beat,0.75
AMGN,Healthcare,2024-02-06,4.59,4.71,beat,0.75
AMGN,Healthcare,2024-05-02,3.89,3.96,beat,1.0
AMGN,Healthcare,2024-08-06,5.0,4.97,miss,1.0
AMGN,Healthcare,2024-10-30,5.11,5.58,beat,0.75
AMGN,Healthcare,2025-02-04,5.08,5.31,beat,0.75
AMGN,Healthcare,2025-05-01,4.26,4.9,beat,0.75
AMGN,Healthcare,2025-08-05,5.28,6.02,beat,0.75
AMGN,Healthcare,2025-11-04,5.01,5.64,beat,1.0
AMGN,Healthcare,2026-02-03,4.73,5.29,beat,1.0
AMGN,Healthcare,2026-04-30,4.77,5.15,beat,1.0
AMZN,Consumer Cyclical,2014-10-23,-0.04,-0.05,miss,0.0
AMZN,Consumer Cyclical,2015-01-29,0.01,0.02,beat,0.0
AMZN,Consumer Cyclical,2015-07-23,-0.01,0.01,beat,0.25
AMZN,Consumer Cyclical,2015-10-22,-0.01,0.01,beat,0.5
AMZN,Consumer Cyclical,2016-01-28,0.08,0.05,miss,0.75
AMZN,Consumer Cyclical,2016-04-28,0.03,0.05,beat,0.75
AMZN,Consumer Cyclical,2016-07-28,0.05,0.09,beat,0.75
AMZN,Consumer Cyclical,2016-10-27,0.04,0.03,miss,0.75
AMZN,Consumer Cyclical,2017-02-02,0.07,0.08,beat,0.5
AMZN,Consumer Cyclical,2017-04-27,0.06,0.07,beat,0.75
AMZN,Consumer Cyclical,2017-07-27,0.07,0.02,miss,0.75
AMZN,Consumer Cyclical,2018-02-01,0.09,0.19,beat,0.5
AMZN,Consumer Cyclical,2018-04-26,0.06,0.16,beat,0.75
AMZN,Consumer Cyclical,2018-07-26,0.13,0.25,beat,0.75
AMZN,Consumer Cyclical,2018-10-25,0.16,0.29,beat,0.75
AMZN,Consumer Cyclical,2019-01-31,0.28,0.3,beat,1.0
AMZN,Consumer Cyclical,2019-04-25,0.23,0.35,beat,1.0
AMZN,Consumer Cyclical,2019-07-25,0.28,0.26,miss,1.0
AMZN,Consumer Cyclical,2019-10-24,0.23,0.21,miss,0.75
AMZN,Consumer Cyclical,2020-01-30,0.2,0.32,beat,0.5
AMZN,Consumer Cyclical,2020-04-30,0.31,0.25,miss,0.5
AMZN,Consumer Cyclical,2020-07-30,0.08,0.52,beat,0.25
AMZN,Consumer Cyclical,2020-10-29,0.37,0.62,beat,0.5
AMZN,Consumer Cyclical,2021-02-02,0.36,0.7,beat,0.75
AMZN,Consumer Cyclical,2021-04-29,0.48,0.79,beat,0.75
AMZN,Consumer Cyclical,2021-07-29,0.62,0.76,beat,1.0
AMZN,Consumer Cyclical,2021-10-28,0.44,0.31,miss,1.0
AMZN,Consumer Cyclical,2022-02-03,0.19,1.39,beat,0.75
AMZN,Consumer Cyclical,2022-04-28,0.41,-0.38,miss,0.75
AMZN,Consumer Cyclical,2022-07-28,0.12,-0.2,miss,0.5
AMZN,Consumer Cyclical,2022-10-27,0.21,0.28,beat,0.25
AMZN,Consumer Cyclical,2023-02-02,0.16,0.03,miss,0.5
AMZN,Consumer Cyclical,2023-04-27,0.21,0.31,beat,0.25
AMZN,Consumer Cyclical,2023-08-03,0.34,0.65,beat,0.5
AMZN,Consumer Cyclical,2023-10-26,0.58,0.94,beat,0.75
AMZN,Consumer Cyclical,2024-02-01,0.8,1.0,beat,0.75
AMZN,Consumer Cyclical,2024-04-30,0.83,0.98,beat,1.0
AMZN,Consumer Cyclical,2024-08-01,1.02,1.26,beat,1.0
AMZN,Consumer Cyclical,2024-10-31,1.14,1.43,beat,1.0
AMZN,Consumer Cyclical,2025-02-06,1.48,1.86,beat,1.0
AMZN,Consumer Cyclical,2025-05-01,1.36,1.59,beat,1.0
AMZN,Consumer Cyclical,2025-07-31,1.33,1.68,beat,1.0
AMZN,Consumer Cyclical,2025-10-30,1.56,1.95,beat,1.0
AMZN,Consumer Cyclical,2026-02-05,1.95,1.95,meet,1.0
AMZN,Consumer Cyclical,2026-04-29,1.65,2.78,beat,0.75
AXP,Financial Services,2014-10-15,1.36,1.4,beat,1.0
AXP,Financial Services,2015-01-21,1.38,1.39,beat,1.0
AXP,Financial Services,2015-04-16,1.36,1.48,beat,1.0
AXP,Financial Services,2015-07-22,1.33,1.42,beat,1.0
AXP,Financial Services,2015-10-21,1.31,1.24,miss,1.0
